What is your gender?,Other,How old are you?,Do you live in London?,How would you describe your ethnicity?,Other,Do you consider yourself to have a disability?,Are you a care experienced person?,Did you hear that the government is planning to cut free travel for under-18s in London?,Do you approve or disapprove the decision to cut free travel for under-18s in London?,How important is free transport in London for you?,How many buses / tubes / trams do you currently take to get to school or college?,How do you get to school or college?,Other,"If you have to pay for transport, will it change how you get to school or college?","If you have to pay for transport, how are you planning to get to school or college?",Other,"If you lose free travel, would this change the college or school you are considering attending?","Please describe what free transport means to you in a word, or words?","“If I lose free travel, I won’t travel out of my area as much unless I have to”","“If I lose free travel, I am worried getting to school/around London is less safe”","“If I lose free travel, I will cycle instead to the places I want to go”","“If I lose free travel, I can still afford to go to the places I want to go to”","“If I lose free travel, I am worried my parents will struggle to make ends meet”","“If I lose free travel, my mental health with suffer”",Museums ,Art galleries,Shopping centres,Parks and green spaces ,Areas outside your local borough or area,Sports clubs,Friends and family ,"Where else would you visit less than you do now, if you had to pay for travel?"
Male,,16,Yes,White British,,No,Yes,No,Dissaprove,5,More than three,Train,,Yes,,"Car, which will mean my brother cannot get to school in time if I do",Yes,It means I can go around stress free and knowing my family can have savings to eat and drink,4,2,3,2,3,4,1,1,3,4,2,2,3,I would visit my dentist less
Male,,16,Yes,Any other White background,,No,No,Yes,Dissaprove,5,One,Cycle,,Yes,Cycle,,Not sure,Financial freedom to get to wherever I need in London.,4,4,5,1,2,4,1,1,4,5,1,4,4,Zero waste shops
Female,,17,Yes,Mixed - White and Black African,,No,No,Yes,Dissaprove,5,One,Bus,,Yes,Walk,,Yes,Opportunity,5,5,1,1,5,5,1,1,2,4,1,1,2,Youth clubs which is bad because it’s where I make friends
Female,,16,Yes,Any other White background,,No,No,Yes,Dissaprove,5,Two,Train,,Yes,Train,,Not sure,It helps my family save money as we are financially struggling,3,4,1,2,3,4,3,3,4,4,2,3,4,Central london
Female,,18,Yes,Black or Black British - Black African,,No,No,Yes,Don't know,4,Two,Bus,,No,,,No,Free transport to me is freedom to go where I need to go,1,1,1,5,2,1,3,3,5,5,5,3,5,"Is probably visit places as much as I do now but instead of paying for the bus, Id walk places that are within half an hour"
Female,,17,No,Black or Black British - Black African,,No,No,Yes,Dissaprove,4,One,Bus,,No,,,No,Vital,2,2,2,3,2,1,3,3,5,5,4,3,5,Shops
Female,,16,Yes,Black or Black British - Black African,,No,No,Yes,Dissaprove,4,One,Bus,,Yes,Walk,,No,A lifeline,5,5,1,2,2,2,1,1,2,2,1,1,4,I wanted to start a job to save up money for university but now i would struggle to get to work
Female,,16,Yes,Any other White background,,No,No,Yes,Dissaprove,5,One,Bus,,Yes,Walk,,Yes,freedom of movement,5,3,1,3,2,4,2,2,2,5,2,1,3,all of london
Female,,16,Yes,Black or Black British - Black African,,No,No,Yes,Dissaprove,5,One,Bus,,Yes,Bus,,Yes,"It allows us to explore, to not have to worry about the many other things that cost money in this economy. Free travel helps me so much, more than words can ever say",5,3,2,3,3,4,1,1,3,2,3,3,4,"Most places - youth centres, might not even want to go to the gps as much"
Female,,16,Yes,Asian or Asian British – Indian,,No,No,Yes,Dissaprove,5,Two,Tube,,Yes,,Get driven/take the school bus,No,free travel allows me to get to school cheaper as well as giving me the opportunity to be more independent as I am not asking my parents to drive me or give me money,4,3,1,4,2,4,2,2,3,3,2,2,3,nowhere else
Female,,16,Yes,,Caribbean,No,No,Yes,Dissaprove,5,More than three,Bus,,Yes,Bus,,Yes,It's easier for me cause I can use the money that I don't use in the transport for an other thing like school's meals ir something like that,4,4,3,3,4,3,2,3,4,3,4,3,4,To my sister's house cause she live so far
Male,,16,Yes,White British,,No,No,Yes,Dissaprove,5,Two,Tube,,Yes,Bus,,Yes,Important,4,3,3,1,4,2,4,1,1,1,1,2,1,Cinema
Male,,16,Yes,White British,,No,No,Yes,Dissaprove,5,One,Bus,,Yes,Walk,,No,Essential,4,4,1,4,2,3,1,1,3,4,3,4,3,
Female,,18,Yes,White British,,No,No,Yes,Dissaprove,5,Three,Bus,,Yes,Bus,,Yes,hhh,5,5,5,5,5,5,5,5,5,5,5,5,5,uuu
Female,,16,Yes,Prefer Not to Say,,No,No,Yes,Dissaprove,5,Two,Bus,,Yes,Walk,,Yes,It helps me get around a lot of places including education centres which are further away from my home. It would make me feel vulnerable if I didn’t have enough money to get around places such as central London to my college.,5,5,5,2,1,5,2,1,2,2,2,2,1,16+ job opportunities
Female,,16,Yes,Any other White background,,No,No,Yes,Dissaprove,5,Three,Tube,,Yes,Walk,,Yes,Free transport helps me get to places quicker and easier without wasting my parents from my parents or that I’ve been saving up,5,5,1,2,5,3,1,1,2,2,1,2,3,Amusement parks and entertainment
Male,,17,Yes,,Kurdish,Yes,No,Yes,Dissaprove,5,Two,Bus,,Yes,Walk,,No,"Everything - I can't afford it without it, I would have to walk miles",5,5,1,2,4,5,2,2,1,3,2,1,3,Everything that isn't a necessity
Female,,16,Yes,Any other Mixed background,,No,No,Yes,Dissaprove,4,One,Bus,,Not sure,,,No,An easy option for me to get around London without relying on my parents to take me everywhere.,4,1,4,3,3,1,1,3,3,4,5,1,5,To friends houses or to run errands
Female,,17,Yes,Black or Black British - Black African,,No,No,Yes,Dissaprove,5,Two,Tube,,Yes,Bus,,Not sure,"Accessibility, adventure, memories.",1,3,2,4,5,1,2,3,4,5,1,2,4,Places of work.
Female,,17,Yes,Any other Mixed background,,No,No,Yes,Dissaprove,5,Two,Bus,,Yes,Walk,,No,It is a way of socialising and getting to school. Without free buses it will become more difficult for me to get to school and see my friends. I feel like my parents would worry about me going out and going to school as I wont have a reliable way to get home.,5,5,1,1,5,5,1,1,3,5,3,1,4,"Gym, Places of Worship (church)"
Male,,17,Yes,Mixed - White and Black Caribbean,,No,No,Yes,Dissaprove,5,Two,Bus,,Yes,Train,,No,Free transport allows me save my money and get to my school which is quite far for me so the fact that I can get bus for free makes life a lot easiee,5,3,2,2,3,4,2,2,3,4,2,4,5,City centre
Female,,16,Yes,Any other Mixed background,,No,No,Yes,Dissaprove,4,Two,Bus,,Not sure,,,Not sure,Important,2,2,2,3,4,2,2,3,4,4,3,3,4,School
Female,,18,Yes,Any other White background,,No,Yes,Yes,Dissaprove,5,Two,Bus,,Yes,,Car,Not sure,Necessity,5,5,1,2,4,5,2,2,2,4,1,1,3,Work
Female,,16,Yes,Any other White background,,No,Yes,Yes,Dissaprove,5,Three,Bus,,Yes,Walk,,Yes,Important for youth,5,5,2,1,5,5,1,1,3,2,1,1,3,Family members and extracurricular activities
Male,,17,Yes,Black or Black British – Black Caribbean,,No,Prefer not to say,Yes,Dissaprove,5,Two,Train,,Yes,,No school,Yes,Very important because we need transport every day to go out to do our needs,3,5,1,2,4,3,2,2,4,2,3,3,4,Friends house
Male,,16,Yes,White British,,No,No,Yes,Dissaprove,5,One,Bus,,Yes,Walk,,No,"free transport allows me to get to school and back, to learn without having to pay.",4,4,4,1,5,4,1,1,4,4,2,3,4,i would never really visit any places other then where i need to go
Male,,16,Yes,White British,,No,Yes,No,Dissaprove,5,Two,Bus,,Yes,Bus,,Yes,Free travel motivates me to leave my house knowing that i wont have to worry about the fair,5,5,3,2,2,3,2,2,5,4,2,2,3,Work
